year,industry_ode_ANZSI,industry_name_ANZSI,rme_size_grp,variale,value,unit
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Total assets,6524,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Fixed tangile assets,3649,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Ativity unit,480,OUNT
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Rolling mean employees,13983,OUNT
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Salaries and wages paid,410,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and susidies",1806,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Total inome,1885,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Total expenditure,1773,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Operating profit efore tax,80,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Total assets,3984,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",e_20-49,Fixed tangile assets,1676,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Ativity unit,111,OUNT
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Rolling mean employees,7419,OUNT
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Salaries and wages paid,200,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and susidies",1075,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Total inome,1170,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Total expenditure,1056,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Operating profit efore tax,39,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Total assets,2067,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",f_50-99,Fixed tangile assets,930,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Ativity unit,27,OUNT
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Rolling mean employees,3522,OUNT
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Salaries and wages paid,86,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and susidies",341,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Total inome,364,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Total expenditure,333,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Operating profit efore tax,37,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Total assets,807,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",g_100-199,Fixed tangile assets,,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,Ativity unit,15,OUNT
2011,A,"Agriulture, Forestry and Fishing",h_200+,Rolling mean employees,6120,OUNT
2011,A,"Agriulture, Forestry and Fishing",h_200+,Salaries and wages paid,173,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,"Sales, government funding, grants and susidies",920,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,Total inome,1034,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,Total expenditure,850,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,Operating profit efore tax,93,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,Total assets,2555,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",h_200+,Fixed tangile assets,,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Ativity unit,71652,OUNT
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,97878,OUNT
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,3527,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and susidies",31145,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Total inome,32642,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Total expenditure,29185,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Operating profit efore tax,2616,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Total assets,133625,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",i_Industry_Total,Fixed tangile assets,76626,DOLLARS(millions)
2011,,Mining,a_0,Ativity unit,333,OUNT
2011,,Mining,a_0,Rolling mean employees,,OUNT
2011,,Mining,a_0,Salaries and wages paid,98,DOLLARS(millions)
2011,,Mining,a_0,"Sales, government funding, grants and susidies",2111,DOLLARS(millions)
2011,,Mining,a_0,Total inome,2271,DOLLARS(millions)
2011,,Mining,a_0,Total expenditure,1673,DOLLARS(millions)
2011,,Mining,a_0,Operating profit efore tax,636,DOLLARS(millions)
2011,,Mining,a_0,Total assets,11988,DOLLARS(millions)
2011,,Mining,a_0,Fixed tangile assets,3579,DOLLARS(millions)
2011,,Mining,_1-5,Ativity unit,168,OUNT
2011,,Mining,_1-5,Rolling mean employees,360,OUNT
2011,,Mining,_1-5,Salaries and wages paid,50,DOLLARS(millions)
2011,,Mining,_1-5,"Sales, government funding, grants and susidies",443,DOLLARS(millions)
2011,,Mining,_1-5,Total inome,462,DOLLARS(millions)
2011,,Mining,_1-5,Total expenditure,411,DOLLARS(millions)
2011,,Mining,_1-5,Operating profit efore tax,89,DOLLARS(millions)
2011,,Mining,_1-5,Total assets,1213,DOLLARS(millions)
2011,,Mining,_1-5,Fixed tangile assets,771,DOLLARS(millions)
2011,,Mining,_6-9,Ativity unit,21,OUNT
2011,,Mining,_6-9,Rolling mean employees,174,OUNT
2011,,Mining,_6-9,Salaries and wages paid,12,DOLLARS(millions)
2011,,Mining,_6-9,"Sales, government funding, grants and susidies",,DOLLARS(millions)
2011,,Mining,_6-9,Total inome,65,DOLLARS(millions)
2011,,Mining,_6-9,Total expenditure,68,DOLLARS(millions)
2011,,Mining,_6-9,Operating profit efore tax,0,DOLLARS(millions)
2011,,Mining,_6-9,Total assets,169,DOLLARS(millions)
2011,,Mining,_6-9,Fixed tangile assets,36,DOLLARS(millions)
2011,,Mining,d_10-19,Ativity unit,36,OUNT
2011,,Mining,d_10-19,Rolling mean employees,489,OUNT
2011,,Mining,d_10-19,Salaries and wages paid,31,DOLLARS(millions)
2011,,Mining,d_10-19,"Sales, government funding, grants and susidies",261,DOLLARS(millions)
2011,,Mining,d_10-19,Total inome,265,DOLLARS(millions)
2011,,Mining,d_10-19,Total expenditure,239,DOLLARS(millions)
2011,,Mining,d_10-19,Operating profit efore tax,45,DOLLARS(millions)
2011,,Mining,d_10-19,Total assets,375,DOLLARS(millions)
2011,,Mining,d_10-19,Fixed tangile assets,162,DOLLARS(millions)
2011,,Mining,e_20-49,Ativity unit,21,OUNT
2011,,Mining,e_20-49,Rolling mean employees,714,OUNT
2011,,Mining,e_20-49,Salaries and wages paid,59,DOLLARS(millions)
2011,,Mining,e_20-49,"Sales, government funding, grants and susidies",759,DOLLARS(millions)
2011,,Mining,e_20-49,Total inome,872,DOLLARS(millions)
2011,,Mining,e_20-49,Total expenditure,490,DOLLARS(millions)
2011,,Mining,e_20-49,Operating profit efore tax,,DOLLARS(millions)
2011,,Mining,e_20-49,Total assets,,DOLLARS(millions)
2011,,Mining,e_20-49,Fixed tangile assets,,DOLLARS(millions)
2011,,Mining,f_50-99,Ativity unit,12,OUNT
2011,,Mining,f_50-99,Rolling mean employees,663,OUNT
2011,,Mining,f_50-99,Salaries and wages paid,60,DOLLARS(millions)
2011,,Mining,f_50-99,"Sales, government funding, grants and susidies",1188,DOLLARS(millions)
2011,,Mining,f_50-99,Total inome,1346,DOLLARS(millions)
2011,,Mining,f_50-99,Total expenditure,811,DOLLARS(millions)
2011,,Mining,f_50-99,Operating profit efore tax,,DOLLARS(millions)
2011,,Mining,f_50-99,Total assets,2644,DOLLARS(millions)
2011,,Mining,f_50-99,Fixed tangile assets,,DOLLARS(millions)
2011,,Mining,g_100-199,Ativity unit,6,OUNT
2011,,Mining,g_100-199,Rolling mean employees,651,OUNT
2011,,Mining,g_100-199,Salaries and wages paid,48,DOLLARS(millions)
2011,,Mining,g_100-199,"Sales, government funding, grants and susidies",,DOLLARS(millions)
2011,,Mining,g_100-199,Total inome,272,DOLLARS(millions)
2011,,Mining,g_100-199,Total expenditure,376,DOLLARS(millions)
2011,,Mining,g_100-199,Operating profit efore tax,,DOLLARS(millions)
2011,,Mining,g_100-199,Total assets,,DOLLARS(millions)
2011,,Mining,g_100-199,Fixed tangile assets,,DOLLARS(millions)
2011,,Mining,h_200+,Ativity unit,9,OUNT
2011,,Mining,h_200+,Rolling mean employees,2850,OUNT
2011,,Mining,h_200+,Salaries and wages paid,261,DOLLARS(millions)
2011,,Mining,h_200+,"Sales, government funding, grants and susidies",1858,DOLLARS(millions)
2011,,Mining,h_200+,Total inome,1933,DOLLARS(millions)
2011,,Mining,h_200+,Total expenditure,1673,DOLLARS(millions)
2011,,Mining,h_200+,Operating profit efore tax,286,DOLLARS(millions)
2011,,Mining,h_200+,Total assets,2099,DOLLARS(millions)
2011,,Mining,h_200+,Fixed tangile assets,1050,DOLLARS(millions)
2011,,Mining,i_Industry_Total,Ativity unit,606,OUNT
2011,,Mining,i_Industry_Total,Rolling mean employees,5907,OUNT
2011,,Mining,i_Industry_Total,Salaries and wages paid,621,DOLLARS(millions)
2011,,Mining,i_Industry_Total,"Sales, government funding, grants and susidies",6944,DOLLARS(millions)
2011,,Mining,i_Industry_Total,Total inome,7486,DOLLARS(millions)
2011,,Mining,i_Industry_Total,Total expenditure,5742,DOLLARS(millions)
2011,,Mining,i_Industry_Total,Operating profit efore tax,1895,DOLLARS(millions)
2011,,Mining,i_Industry_Total,Total assets,26953,DOLLARS(millions)
2011,,Mining,i_Industry_Total,Fixed tangile assets,8859,DOLLARS(millions)
2011,,Manufaturing,a_0,Ativity unit,8382,OUNT
2011,,Manufaturing,a_0,Rolling mean employees,0,OUNT
2011,,Manufaturing,a_0,Salaries and wages paid,154,DOLLARS(millions)
2011,,Manufaturing,a_0,"Sales, government funding, grants and susidies",1993,DOLLARS(millions)
2011,,Manufaturing,a_0,Total inome,2004,DOLLARS(millions)
2011,,Manufaturing,a_0,Total expenditure,1796,DOLLARS(millions)
2011,,Manufaturing,a_0,Operating profit efore tax,204,DOLLARS(millions)
2011,,Manufaturing,a_0,Total assets,2173,DOLLARS(millions)
2011,,Manufaturing,a_0,Fixed tangile assets,645,DOLLARS(millions)
2011,,Manufaturing,_1-5,Ativity unit,6942,OUNT
2011,,Manufaturing,_1-5,Rolling mean employees,15327,OUNT
2011,,Manufaturing,_1-5,Salaries and wages paid,627,DOLLARS(millions)
2011,,Manufaturing,_1-5,"Sales, government funding, grants and susidies",3669,DOLLARS(millions)
2011,,Manufaturing,_1-5,Total inome,3683,DOLLARS(millions)
2011,,Manufaturing,_1-5,Total expenditure,3458,DOLLARS(millions)
2011,,Manufaturing,_1-5,Operating profit efore tax,241,DOLLARS(millions)
2011,,Manufaturing,_1-5,Total assets,2675,DOLLARS(millions)
2011,,Manufaturing,_1-5,Fixed tangile assets,612,DOLLARS(millions)
2011,,Manufaturing,_6-9,Ativity unit,1872,OUNT
2011,,Manufaturing,_6-9,Rolling mean employees,13680,OUNT
2011,,Manufaturing,_6-9,Salaries and wages paid,561,DOLLARS(millions)
2011,,Manufaturing,_6-9,"Sales, government funding, grants and susidies",2168,DOLLARS(millions)
2011,,Manufaturing,_6-9,Total inome,2184,DOLLARS(millions)
2011,,Manufaturing,_6-9,Total expenditure,2073,DOLLARS(millions)
2011,,Manufaturing,_6-9,Operating profit efore tax,128,DOLLARS(millions)
2011,,Manufaturing,_6-9,Total assets,1392,DOLLARS(millions)
2011,,Manufaturing,_6-9,Fixed tangile assets,375,DOLLARS(millions)
2011,,Manufaturing,d_10-19,Ativity unit,1884,OUNT
2011,,Manufaturing,d_10-19,Rolling mean employees,25053,OUNT
2011,,Manufaturing,d_10-19,Salaries and wages paid,1118,DOLLARS(millions)
2011,,Manufaturing,d_10-19,"Sales, government funding, grants and susidies",4407,DOLLARS(millions)
2011,,Manufaturing,d_10-19,Total inome,4435,DOLLARS(millions)
2011,,Manufaturing,d_10-19,Total expenditure,4356,DOLLARS(millions)
2011,,Manufaturing,d_10-19,Operating profit efore tax,98,DOLLARS(millions)
2011,,Manufaturing,d_10-19,Total assets,2875,DOLLARS(millions)
2011,,Manufaturing,d_10-19,Fixed tangile assets,684,DOLLARS(millions)
2011,,Manufaturing,e_20-49,Ativity unit,1149,OUNT
2011,,Manufaturing,e_20-49,Rolling mean employees,34092,OUNT
2011,,Manufaturing,e_20-49,Salaries and wages paid,1658,DOLLARS(millions)
2011,,Manufaturing,e_20-49,"Sales, government funding, grants and susidies",7997,DOLLARS(millions)
2011,,Manufaturing,e_20-49,Total inome,8050,DOLLARS(millions)
2011,,Manufaturing,e_20-49,Total expenditure,7631,DOLLARS(millions)
2011,,Manufaturing,e_20-49,Operating profit efore tax,508,DOLLARS(millions)
2011,,Manufaturing,e_20-49,Total assets,5947,DOLLARS(millions)
2011,,Manufaturing,e_20-49,Fixed tangile assets,1922,DOLLARS(millions)
2011,,Manufaturing,f_50-99,Ativity unit,372,OUNT
2011,,Manufaturing,f_50-99,Rolling mean employees,25515,OUNT
2011,,Manufaturing,f_50-99,Salaries and wages paid,1335,DOLLARS(millions)
2011,,Manufaturing,f_50-99,"Sales, government funding, grants and susidies",10615,DOLLARS(millions)
2011,,Manufaturing,f_50-99,Total inome,10746,DOLLARS(millions)
2011,,Manufaturing,f_50-99,Total expenditure,10291,DOLLARS(millions)
2011,,Manufaturing,f_50-99,Operating profit efore tax,510,DOLLARS(millions)
2011,,Manufaturing,f_50-99,Total assets,6520,DOLLARS(millions)
2011,,Manufaturing,f_50-99,Fixed tangile assets,2190,DOLLARS(millions)
2011,,Manufaturing,g_100-199,Ativity unit,171,OUNT
2011,,Manufaturing,g_100-199,Rolling mean employees,24069,OUNT
2011,,Manufaturing,g_100-199,Salaries and wages paid,1459,DOLLARS(millions)
2011,,Manufaturing,g_100-199,"Sales, government funding, grants and susidies",10969,DOLLARS(millions)
2011,,Manufaturing,g_100-199,Total inome,11192,DOLLARS(millions)
2011,,Manufaturing,g_100-199,Total expenditure,10660,DOLLARS(millions)
2011,,Manufaturing,g_100-199,Operating profit efore tax,679,DOLLARS(millions)
2011,,Manufaturing,g_100-199,Total assets,9202,DOLLARS(millions)
2011,,Manufaturing,g_100-199,Fixed tangile assets,2312,DOLLARS(millions)
2011,,Manufaturing,h_200+,Ativity unit,141,OUNT
2011,,Manufaturing,h_200+,Rolling mean employees,83955,OUNT
2011,,Manufaturing,h_200+,Salaries and wages paid,5284,DOLLARS(millions)
2011,,Manufaturing,h_200+,"Sales, government funding, grants and susidies",53126,DOLLARS(millions)
2011,,Manufaturing,h_200+,Total inome,53879,DOLLARS(millions)
2011,,Manufaturing,h_200+,Total expenditure,53118,DOLLARS(millions)
2011,,Manufaturing,h_200+,Operating profit efore tax,1508,DOLLARS(millions)
2011,,Manufaturing,h_200+,Total assets,40714,DOLLARS(millions)
2011,,Manufaturing,h_200+,Fixed tangile assets,13877,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,Ativity unit,20916,OUNT
2011,,Manufaturing,i_Industry_Total,Rolling mean employees,221694,OUNT
2011,,Manufaturing,i_Industry_Total,Salaries and wages paid,12196,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,"Sales, government funding, grants and susidies",94944,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,Total inome,96174,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,Total expenditure,93383,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,Operating profit efore tax,3875,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,Total assets,71498,DOLLARS(millions)
2011,,Manufaturing,i_Industry_Total,Fixed tangile assets,22617,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Ativity unit,540,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Rolling mean employees,0,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Salaries and wages paid,23,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,"Sales, government funding, grants and susidies",2377,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Total inome,2447,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Total expenditure,2133,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Operating profit efore tax,361,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Total assets,8615,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",a_0,Fixed tangile assets,6118,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Ativity unit,306,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Rolling mean employees,636,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Salaries and wages paid,28,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,"Sales, government funding, grants and susidies",156,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Total inome,159,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Total expenditure,142,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Operating profit efore tax,19,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Total assets,435,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_1-5,Fixed tangile assets,177,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Ativity unit,66,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Rolling mean employees,492,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Salaries and wages paid,24,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,"Sales, government funding, grants and susidies",126,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Total inome,126,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Total expenditure,117,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Operating profit efore tax,20,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Total assets,111,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",_6-9,Fixed tangile assets,69,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Ativity unit,42,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Rolling mean employees,549,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Salaries and wages paid,21,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,"Sales, government funding, grants and susidies",138,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Total inome,142,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Total expenditure,129,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Operating profit efore tax,18,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Total assets,389,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",d_10-19,Fixed tangile assets,304,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Ativity unit,33,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Rolling mean employees,1029,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Salaries and wages paid,54,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,"Sales, government funding, grants and susidies",443,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Total inome,453,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Total expenditure,389,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Operating profit efore tax,64,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Total assets,764,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",e_20-49,Fixed tangile assets,594,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Ativity unit,15,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Rolling mean employees,1185,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Salaries and wages paid,53,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,"Sales, government funding, grants and susidies",864,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Total inome,869,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Total expenditure,789,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Operating profit efore tax,83,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Total assets,1331,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",f_50-99,Fixed tangile assets,989,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Ativity unit,9,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Rolling mean employees,1587,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Salaries and wages paid,83,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,"Sales, government funding, grants and susidies",714,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Total inome,729,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Total expenditure,594,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Operating profit efore tax,156,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Total assets,3112,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",g_100-199,Fixed tangile assets,2736,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Ativity unit,15,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Rolling mean employees,8898,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Salaries and wages paid,648,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,"Sales, government funding, grants and susidies",10500,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Total inome,11393,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Total expenditure,9926,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Operating profit efore tax,1417,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Total assets,45146,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",h_200+,Fixed tangile assets,35855,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",i_Industry_Total,Ativity unit,1026,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",i_Industry_Total,Rolling mean employees,14379,OUNT
2011,D,"Eletriity, Gas, Water and Waste Servies",i_Industry_Total,Salaries and wages paid,934,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",i_Industry_Total,"Sales, government funding, grants and susidies",15318,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",i_Industry_Total,Total inome,16319,DOLLARS(millions)
2011,D,"Eletriity, Gas, Water and Waste Servies",i_Industry_Total,Total expenditure,14219,DOLLARS(millions)
