,Provincia,Edad Aprox.,Motivo Desaparción,Situación Actual,Sexo
127,4,25,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
128,3,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
129,7,18,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
130,6,13,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
131,1,31,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
132,7,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
133,3,21,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
134,4,16,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
135,7,38,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
136,1,80,EXTRAVIADA,ENCONTRADO,HOMBRE
137,2,17,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
138,5,24,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
139,2,17,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
140,10,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
141,7,19,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
142,1,16,PROBLEMAS PSICOLÓGICOS,ENCONTRADO,HOMBRE
143,15,25,FALLECIDO,FALLECIDO,HOMBRE
144,4,18,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
145,1,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
146,1,25,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
147,1,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
148,20,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
149,8,19,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
150,8,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
151,8,15,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
152,2,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
153,10,19,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
154,4,31,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
155,1,77,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
156,16,26,FALLECIDO,FALLECIDO,HOMBRE
157,2,59,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
158,1,48,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
159,20,49,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
160,5,28,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
161,7,69,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
162,1,29,EXTRAVIADA,ENCONTRADO,HOMBRE
163,1,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
164,1,40,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
165,1,29,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
166,10,17,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
167,1,7,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
168,22,44,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
169,17,5,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
170,1,17,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
171,5,44,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
172,11,28,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
173,6,60,EXTRAVIADA,ENCONTRADO,HOMBRE
174,1,19,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
175,1,58,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
176,1,81,FALLECIDO,FALLECIDO,HOMBRE
177,15,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
178,1,17,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
179,1,17,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
180,17,22,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
181,18,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
182,1,18,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
183,7,17,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
184,7,18,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
185,17,55,FALLECIDO,FALLECIDO,HOMBRE
186,2,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
187,2,27,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
188,2,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
189,19,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
190,1,20,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
191,15,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
192,6,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
193,1,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
194,17,39,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
195,14,11,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
196,10,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
197,1,37,FALLECIDO,FALLECIDO,HOMBRE
198,7,25,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
199,7,8,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
200,10,11,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
201,7,9,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
202,14,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
203,2,11,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
204,17,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
205,4,46,PROBLEMAS PSICOLÓGICOS,ENCONTRADO,HOMBRE
206,20,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
207,1,47,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
208,1,31,FALLECIDO,FALLECIDO,HOMBRE
209,4,26,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
210,1,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
211,22,16,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
212,1,25,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
213,6,16,PROBLEMAS PSICOLÓGICOS,ENCONTRADO,MUJER
214,4,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
215,4,29,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
216,3,13,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
217,4,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
218,8,52,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
219,4,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
220,2,23,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
221,1,81,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
222,13,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
223,6,18,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
224,4,16,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
225,2,22,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
226,1,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
227,4,26,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
228,4,32,EXTRAVIADA,ENCONTRADO,HOMBRE
229,1,18,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
230,8,22,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
231,8,71,EXTRAVIADA,ENCONTRADO,HOMBRE
232,2,25,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
233,7,11,PROBLEMAS ACADÉMICOS,ENCONTRADO,MUJER
234,2,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
235,2,75,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
236,4,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
237,2,41,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
238,4,20,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
239,1,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
240,1,24,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
241,16,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
242,2,15,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
243,18,24,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
244,4,13,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
245,8,22,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
246,7,22,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
247,1,13,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
248,4,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
249,4,17,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
250,1,21,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
251,1,74,PROBLEMAS PSICOLÓGICOS,ENCONTRADO,HOMBRE
252,1,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
253,4,25,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
254,4,16,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
255,7,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
256,5,3,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
257,16,19,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
258,1,38,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
259,7,54,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
260,1,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
261,17,11,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
262,8,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
263,4,21,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
264,6,32,FALLECIDO,FALLECIDO,HOMBRE
265,4,26,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
266,5,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
267,4,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
268,20,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
269,1,11,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
270,4,41,FALLECIDO,FALLECIDO,HOMBRE
271,1,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
272,6,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
273,17,6,FALLECIDO,FALLECIDO,MUJER
274,7,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
275,7,12,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
276,5,26,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
277,4,15,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
278,1,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
279,1,17,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
280,1,24,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
281,1,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
282,10,15,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
283,4,37,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
284,4,85,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
285,1,78,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
286,4,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
287,4,59,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
288,2,16,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
289,1,18,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
290,13,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
291,4,20,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
292,1,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
293,1,21,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
294,4,56,FALLECIDO,FALLECIDO,HOMBRE
295,17,48,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
296,2,18,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
297,4,22,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
298,17,27,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
299,1,10,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
300,4,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
301,1,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
302,4,47,EXTRAVIADA,ENCONTRADO,HOMBRE
303,6,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
304,1,16,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
305,8,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
306,8,33,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,MUJER
307,1,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
308,1,12,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
309,7,23,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
310,23,28,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
311,23,2,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
312,2,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
313,4,29,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
314,4,21,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
315,4,23,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
316,1,41,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,MUJER
317,1,18,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
318,3,15,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
319,7,24,PROBLEMAS ACADÉMICOS,ENCONTRADO,HOMBRE
320,7,2,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
321,4,22,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
322,11,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
323,16,19,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
324,16,9,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
325,8,18,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
326,4,15,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
327,4,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
328,10,1,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
329,4,36,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
330,17,23,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
331,7,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
332,7,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
333,2,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
334,8,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
335,5,21,PROBLEMA ECÓNOMICOS,ENCONTRADO,HOMBRE
336,6,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
337,4,23,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
338,13,33,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
339,3,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
340,1,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
341,4,29,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
342,4,53,FALLECIDO,FALLECIDO,HOMBRE
343,12,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
344,4,89,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
345,1,83,EXTRAVIADA,ENCONTRADO,HOMBRE
346,5,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
347,20,26,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
348,7,19,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
349,7,1,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
350,20,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
351,4,17,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
352,7,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
353,4,15,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
354,8,18,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
355,8,18,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
356,19,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
357,15,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
358,16,87,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
359,13,3,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
360,1,11,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
361,14,15,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
362,6,25,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
363,1,18,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
364,10,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
365,1,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
366,1,25,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
367,8,12,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
368,1,21,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
369,8,61,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
370,4,22,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
371,1,6,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
372,12,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
373,11,16,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
374,7,18,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
375,16,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
376,7,23,FALLECIDO,FALLECIDO,HOMBRE
377,16,36,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
378,5,19,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
379,13,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
