,Provincia,Edad Aprox.,Sexo
137,2,17,MUJER
138,5,24,MUJER
139,2,17,HOMBRE
140,10,14,MUJER
141,7,19,HOMBRE
142,1,16,HOMBRE
143,15,25,HOMBRE
144,4,18,HOMBRE
145,1,16,MUJER
146,1,25,MUJER
147,1,14,MUJER
148,20,15,MUJER
149,8,19,MUJER
150,8,15,MUJER
151,8,15,HOMBRE
152,2,14,MUJER
153,10,19,MUJER
154,4,31,HOMBRE
155,1,77,HOMBRE
156,16,26,HOMBRE
157,2,59,HOMBRE
158,1,48,HOMBRE
159,20,49,HOMBRE
160,5,28,MUJER
161,7,69,HOMBRE
162,1,29,HOMBRE
163,1,14,MUJER
164,1,40,HOMBRE
165,1,29,HOMBRE
166,10,17,MUJER
167,1,7,HOMBRE
168,22,44,MUJER
169,17,5,MUJER
170,1,17,MUJER
171,5,44,HOMBRE
172,11,28,HOMBRE
173,6,60,HOMBRE
174,1,19,MUJER
175,1,58,HOMBRE
176,1,81,HOMBRE
177,15,14,MUJER
178,1,17,MUJER
179,1,17,HOMBRE
180,17,22,MUJER
181,18,14,MUJER
182,1,18,HOMBRE
183,7,17,MUJER
184,7,18,MUJER
185,17,55,HOMBRE
186,2,17,MUJER
187,2,27,HOMBRE
188,2,15,MUJER
189,19,14,MUJER
190,1,20,MUJER
191,15,17,MUJER
192,6,16,MUJER
193,1,15,MUJER
194,17,39,HOMBRE
195,14,11,HOMBRE
196,10,13,MUJER
197,1,37,HOMBRE
198,7,25,MUJER
199,7,8,HOMBRE
200,10,11,HOMBRE
201,7,9,HOMBRE
202,14,14,MUJER
203,2,11,MUJER
204,17,16,MUJER
205,4,46,HOMBRE
206,20,14,MUJER
207,1,47,MUJER
208,1,31,HOMBRE
209,4,26,HOMBRE
210,1,17,MUJER
211,22,16,HOMBRE
212,1,25,MUJER
213,6,16,MUJER
214,4,14,MUJER
215,4,29,HOMBRE
216,3,13,MUJER
217,4,14,MUJER
218,8,52,HOMBRE
219,4,15,MUJER
220,2,23,HOMBRE
221,1,81,HOMBRE
222,13,13,MUJER
223,6,18,HOMBRE
224,4,16,MUJER
225,2,22,HOMBRE
226,1,14,MUJER
227,4,26,HOMBRE
228,4,32,HOMBRE
229,1,18,MUJER
230,8,22,HOMBRE
231,8,71,HOMBRE
232,2,25,MUJER
233,7,11,MUJER
234,2,16,MUJER
235,2,75,HOMBRE
236,4,17,MUJER
237,2,41,HOMBRE
238,4,20,MUJER
239,1,15,MUJER
240,1,24,MUJER
241,16,14,MUJER
242,2,15,HOMBRE
243,18,24,HOMBRE
244,4,13,MUJER
245,8,22,MUJER
246,7,22,HOMBRE
247,1,13,MUJER
248,4,16,MUJER
249,4,17,MUJER
250,1,21,HOMBRE
251,1,74,HOMBRE
252,1,16,MUJER
253,4,25,MUJER
254,4,16,MUJER
255,7,15,MUJER
256,5,3,HOMBRE
257,16,19,HOMBRE
258,1,38,HOMBRE
259,7,54,HOMBRE
260,1,14,MUJER
261,17,11,HOMBRE
262,8,15,MUJER
263,4,21,MUJER
264,6,32,HOMBRE
265,4,26,HOMBRE
266,5,14,MUJER
267,4,13,MUJER
268,20,16,MUJER
269,1,11,HOMBRE
270,4,41,HOMBRE
271,1,15,MUJER
272,6,16,MUJER
273,17,6,MUJER
274,7,13,MUJER
275,7,12,MUJER
276,5,26,MUJER
277,4,15,HOMBRE
278,1,15,MUJER
279,1,17,MUJER
280,1,24,HOMBRE
281,1,15,MUJER
282,10,15,HOMBRE
283,4,37,HOMBRE
284,4,85,HOMBRE
285,1,78,HOMBRE
286,4,15,MUJER
287,4,59,HOMBRE
288,2,16,MUJER
289,1,18,MUJER
290,13,14,MUJER
291,4,20,MUJER
292,1,16,MUJER
293,1,21,HOMBRE
294,4,56,HOMBRE
295,17,48,HOMBRE
296,2,18,MUJER
297,4,22,HOMBRE
298,17,27,HOMBRE
299,1,10,HOMBRE
300,4,14,MUJER
301,1,15,MUJER
302,4,47,HOMBRE
303,6,15,MUJER
304,1,16,MUJER
305,8,15,MUJER
306,8,33,MUJER
307,1,14,MUJER
308,1,12,HOMBRE
309,7,23,HOMBRE
310,23,28,MUJER
311,23,2,HOMBRE
312,2,16,MUJER
313,4,29,HOMBRE
314,4,21,HOMBRE
315,4,23,HOMBRE
316,1,41,MUJER
317,1,18,MUJER
318,3,15,HOMBRE
319,7,24,HOMBRE
320,7,2,MUJER
321,4,22,HOMBRE
322,11,14,MUJER
323,16,19,MUJER
324,16,9,MUJER
325,8,18,MUJER
326,4,15,HOMBRE
327,4,16,MUJER
328,10,1,HOMBRE
329,4,36,HOMBRE
330,17,23,HOMBRE
331,7,14,MUJER
332,7,15,MUJER
333,2,15,MUJER
334,8,15,MUJER
335,5,21,HOMBRE
336,6,15,MUJER
337,4,23,MUJER
338,13,33,HOMBRE
339,3,16,MUJER
340,1,15,MUJER
341,4,29,HOMBRE
342,4,53,HOMBRE
343,12,15,MUJER
344,4,89,HOMBRE
345,1,83,HOMBRE
346,5,15,MUJER
347,20,26,HOMBRE
348,7,19,MUJER
349,7,1,HOMBRE
350,20,16,MUJER
351,4,17,HOMBRE
352,7,17,MUJER
353,4,15,HOMBRE
354,8,18,HOMBRE
355,8,18,MUJER
356,19,14,MUJER
357,15,16,MUJER
358,16,87,HOMBRE
359,13,3,MUJER
360,1,11,HOMBRE
361,14,15,HOMBRE
362,6,25,HOMBRE
363,1,18,MUJER
364,10,16,MUJER
365,1,16,MUJER
366,1,25,MUJER
367,8,12,MUJER
368,1,21,MUJER
369,8,61,HOMBRE
370,4,22,MUJER
371,1,6,MUJER
372,12,17,MUJER
373,11,16,HOMBRE
374,7,18,MUJER
375,16,14,MUJER
376,7,23,HOMBRE
377,16,36,MUJER
378,5,19,HOMBRE
379,13,13,MUJER
380,1,11,MUJER
381,3,31,HOMBRE
382,6,17,MUJER
383,4,17,MUJER
384,11,57,MUJER
385,11,17,MUJER
386,10,16,MUJER
387,4,41,HOMBRE
388,8,16,MUJER
389,4,13,HOMBRE
390,10,23,MUJER
391,10,5,HOMBRE
392,15,15,MUJER
393,2,16,MUJER
394,4,58,HOMBRE
395,4,37,HOMBRE
396,19,19,MUJER
397,13,16,MUJER
398,4,36,HOMBRE
399,4,12,MUJER
400,4,40,HOMBRE
401,4,16,MUJER
402,7,19,HOMBRE
403,5,15,MUJER
404,7,20,HOMBRE
405,3,26,HOMBRE
406,19,11,HOMBRE
407,3,26,HOMBRE
408,1,15,HOMBRE
409,20,15,HOMBRE
410,5,17,MUJER
411,21,26,HOMBRE
412,17,1,MUJER
413,1,14,MUJER
414,12,32,MUJER
415,19,17,MUJER
416,1,14,HOMBRE
417,5,55,MUJER
418,4,4,HOMBRE
419,2,13,MUJER
420,11,15,MUJER
421,1,5,MUJER
422,23,15,MUJER
423,20,15,MUJER
424,10,18,MUJER
425,1,16,MUJER
426,2,1,HOMBRE
427,11,34,MUJER
428,4,26,HOMBRE
429,19,15,MUJER
430,20,13,MUJER
431,19,6,HOMBRE
432,8,14,MUJER
433,2,15,MUJER
434,1,23,HOMBRE
435,20,19,MUJER
436,10,24,MUJER
437,10,12,MUJER
438,8,17,MUJER
439,1,15,MUJER
440,2,15,MUJER
441,2,13,MUJER
442,13,12,MUJER
443,2,16,HOMBRE
444,4,13,MUJER
445,4,15,MUJER
446,1,73,HOMBRE
447,1,15,MUJER
448,4,7,MUJER
449,1,15,MUJER
450,5,68,HOMBRE
451,8,27,HOMBRE
452,11,49,HOMBRE
453,4,12,MUJER
454,13,30,HOMBRE
455,8,24,HOMBRE
456,8,22,MUJER
457,1,14,MUJER
458,1,18,MUJER
459,17,15,MUJER
460,1,7,MUJER
461,1,48,MUJER
462,4,42,HOMBRE
463,13,38,HOMBRE
464,8,17,HOMBRE
465,1,23,HOMBRE
466,8,69,HOMBRE
467,1,19,MUJER
468,1,40,HOMBRE
469,4,35,MUJER
470,9,17,MUJER
471,20,15,MUJER
472,4,25,MUJER
473,4,13,MUJER
474,12,14,MUJER
475,20,17,HOMBRE
476,15,33,HOMBRE
477,1,27,HOMBRE
478,1,49,MUJER
479,4,32,HOMBRE
480,4,28,MUJER
481,1,69,HOMBRE
482,6,17,MUJER
483,1,16,HOMBRE
484,15,16,MUJER
485,1,36,HOMBRE
486,1,16,MUJER
487,1,15,MUJER
488,1,14,MUJER
489,13,16,MUJER
490,19,16,MUJER
491,1,15,MUJER
492,4,16,HOMBRE
493,1,17,MUJER
494,8,15,HOMBRE
495,1,33,HOMBRE
496,1,60,HOMBRE
497,3,13,MUJER
498,1,23,MUJER
499,1,25,HOMBRE
500,4,16,MUJER
501,1,16,MUJER
502,13,7,MUJER
503,5,14,MUJER
504,19,17,MUJER
505,1,14,MUJER
506,1,16,MUJER
507,6,78,HOMBRE
508,17,16,MUJER
509,13,12,MUJER
510,10,36,HOMBRE
511,1,14,HOMBRE
512,1,28,HOMBRE
513,7,14,MUJER
514,19,15,MUJER
515,1,17,MUJER
516,1,16,MUJER
517,10,48,MUJER
518,12,11,MUJER
519,22,16,MUJER
520,12,46,MUJER
521,1,94,HOMBRE
522,1,38,HOMBRE
523,1,16,MUJER
524,4,15,MUJER
525,1,49,HOMBRE
526,9,56,HOMBRE
527,1,24,MUJER
528,5,16,HOMBRE
529,1,20,HOMBRE
530,5,14,MUJER
531,5,14,MUJER
532,4,12,HOMBRE
533,5,16,MUJER
534,8,15,MUJER
535,4,16,MUJER
536,1,22,HOMBRE
537,4,15,HOMBRE
538,13,15,HOMBRE
539,1,18,HOMBRE
540,6,45,HOMBRE
541,13,16,MUJER
542,4,13,MUJER
543,1,14,MUJER
544,1,74,HOMBRE
545,3,28,HOMBRE
546,3,15,MUJER
547,1,14,MUJER
548,1,13,MUJER
549,2,15,MUJER
550,1,55,HOMBRE
551,5,13,MUJER
552,5,16,MUJER
553,6,7,HOMBRE
554,12,13,MUJER
555,12,13,MUJER
556,7,17,MUJER
557,7,17,MUJER
558,4,28,HOMBRE
559,4,20,HOMBRE
560,7,26,MUJER
561,2,19,MUJER
562,14,12,MUJER
563,14,16,MUJER
564,2,12,MUJER
565,19,14,HOMBRE
566,6,59,HOMBRE
567,4,12,MUJER
568,4,25,HOMBRE
569,1,3,MUJER
570,1,15,MUJER
571,22,16,HOMBRE
572,23,16,MUJER
573,4,27,MUJER
574,1,14,MUJER
575,4,14,MUJER
576,4,11,MUJER
577,11,18,HOMBRE
578,13,13,HOMBRE
579,13,16,MUJER
580,1,20,HOMBRE
581,1,51,HOMBRE
582,7,6,HOMBRE
583,7,2,HOMBRE
584,4,15,MUJER
585,1,36,HOMBRE
586,4,16,HOMBRE
587,11,36,HOMBRE
588,4,13,MUJER
589,5,18,MUJER
590,11,16,MUJER
591,13,14,MUJER
592,1,19,MUJER
593,4,15,MUJER
594,10,15,HOMBRE
595,5,15,MUJER
596,18,14,MUJER
597,8,15,MUJER
598,1,27,HOMBRE
599,1,12,MUJER
600,7,14,MUJER
601,7,14,MUJER
602,6,67,HOMBRE
603,8,11,HOMBRE
604,3,13,MUJER
605,1,14,MUJER
606,4,20,MUJER
607,1,25,HOMBRE
608,4,15,MUJER
609,3,29,MUJER
610,1,16,MUJER
611,13,26,MUJER
612,1,30,HOMBRE
613,1,31,MUJER
614,1,16,MUJER
615,1,28,HOMBRE
616,4,24,HOMBRE
617,4,45,HOMBRE
618,4,16,MUJER
619,21,26,MUJER
620,7,13,MUJER
621,1,18,MUJER
622,4,15,MUJER
623,4,19,HOMBRE
624,2,13,MUJER
625,13,18,HOMBRE
626,2,13,MUJER
627,8,17,MUJER
628,1,15,MUJER
629,4,14,MUJER
630,1,13,MUJER
631,12,11,MUJER
632,1,18,MUJER
633,1,25,MUJER
634,3,29,HOMBRE
635,8,14,MUJER
636,7,3,MUJER
637,1,14,MUJER
638,8,18,MUJER
639,8,55,HOMBRE
640,20,12,MUJER
641,12,25,HOMBRE
642,1,17,MUJER
643,4,17,HOMBRE
644,13,6,MUJER
645,4,15,HOMBRE
646,1,21,MUJER
647,1,24,MUJER
648,5,27,MUJER
649,5,5,MUJER
650,5,7,HOMBRE
651,1,13,MUJER
652,4,21,HOMBRE
653,1,21,HOMBRE
654,13,14,MUJER
655,1,13,MUJER
656,4,44,HOMBRE
657,3,17,HOMBRE
658,1,12,MUJER
659,5,23,HOMBRE
660,4,16,MUJER
661,19,13,MUJER
662,20,14,MUJER
663,17,61,HOMBRE
664,1,10,HOMBRE
665,4,14,HOMBRE
666,2,76,MUJER
667,4,22,MUJER
668,1,74,HOMBRE
669,5,18,HOMBRE
670,20,17,MUJER
671,3,14,MUJER
672,20,48,HOMBRE
673,20,57,HOMBRE
674,8,32,HOMBRE
675,5,27,HOMBRE
676,1,17,HOMBRE
677,4,14,MUJER
678,4,52,HOMBRE
679,7,15,MUJER
680,12,13,MUJER
681,22,9,MUJER
682,15,16,HOMBRE
683,12,59,HOMBRE
684,5,16,MUJER
685,1,15,MUJER
686,4,16,MUJER
687,4,54,MUJER
688,4,17,MUJER
689,13,23,HOMBRE
690,4,15,MUJER
691,4,30,MUJER
692,13,12,MUJER
693,20,63,HOMBRE
694,1,13,MUJER
695,20,13,HOMBRE
696,1,12,MUJER
697,17,34,HOMBRE
698,2,23,MUJER
699,1,15,HOMBRE
700,14,35,HOMBRE
701,4,28,HOMBRE
702,4,20,MUJER
703,1,13,MUJER
704,6,13,MUJER
705,4,58,HOMBRE
706,22,17,MUJER
707,4,51,HOMBRE
708,1,10,MUJER
709,6,17,HOMBRE
710,22,17,MUJER
711,7,13,MUJER
712,1,28,HOMBRE
713,1,36,MUJER
714,1,16,MUJER
715,17,14,MUJER
716,7,15,MUJER
717,13,38,HOMBRE
718,11,59,MUJER
719,1,62,HOMBRE
720,20,14,MUJER
721,7,17,HOMBRE
722,8,13,HOMBRE
723,7,13,MUJER
724,1,12,MUJER
725,2,14,MUJER
726,20,33,MUJER
727,20,25,HOMBRE
728,20,15,MUJER
729,6,17,MUJER
730,21,5,HOMBRE
731,19,13,MUJER
732,1,51,HOMBRE
733,1,44,MUJER
734,21,7,MUJER
735,7,22,MUJER
736,1,13,MUJER
737,5,51,HOMBRE
738,1,15,MUJER
739,1,20,HOMBRE
740,1,30,HOMBRE
741,4,35,HOMBRE
742,11,17,MUJER
743,17,15,MUJER
744,1,13,MUJER
745,7,41,HOMBRE
746,4,77,HOMBRE
747,22,45,HOMBRE
748,7,15,MUJER
749,1,16,HOMBRE
750,4,47,HOMBRE
751,8,14,MUJER
752,8,61,HOMBRE
753,4,14,MUJER
754,10,14,MUJER
755,2,14,HOMBRE
756,2,16,MUJER
757,2,25,HOMBRE
758,3,17,MUJER
759,1,14,HOMBRE
760,1,15,MUJER
761,4,23,HOMBRE
762,12,15,MUJER
763,4,13,MUJER
764,4,17,MUJER
765,17,14,MUJER
766,4,13,MUJER
767,1,17,MUJER
768,1,62,HOMBRE
769,4,33,HOMBRE
770,8,16,MUJER
771,4,35,HOMBRE
772,4,13,MUJER
773,1,25,HOMBRE
774,4,79,MUJER
775,17,13,HOMBRE
776,20,36,HOMBRE
777,4,14,MUJER
778,4,15,HOMBRE
779,20,19,HOMBRE
780,4,30,HOMBRE
781,1,18,HOMBRE
782,1,15,MUJER
783,11,44,HOMBRE
784,10,14,MUJER
785,1,26,HOMBRE
786,14,29,MUJER
787,9,14,HOMBRE
788,1,15,MUJER
789,4,22,HOMBRE
790,1,29,HOMBRE
791,1,16,HOMBRE
792,8,75,HOMBRE
793,4,87,MUJER
794,7,32,HOMBRE
795,13,13,MUJER
796,4,2,MUJER
797,4,18,MUJER
798,4,39,HOMBRE
799,10,12,MUJER
800,1,43,MUJER
801,1,15,MUJER
802,19,13,MUJER
803,5,13,MUJER
804,1,27,HOMBRE
805,2,31,HOMBRE
806,1,14,MUJER
807,17,22,HOMBRE
808,10,16,MUJER
809,1,15,MUJER
810,1,15,MUJER
811,5,16,MUJER
812,2,20,MUJER
813,20,18,HOMBRE
814,1,30,HOMBRE
815,5,15,MUJER
816,8,12,MUJER
817,1,16,MUJER
818,4,17,HOMBRE
819,4,18,HOMBRE
820,19,12,MUJER
821,4,16,MUJER
822,5,14,HOMBRE
823,4,26,HOMBRE
824,2,39,MUJER
825,13,14,MUJER
826,13,12,MUJER
827,15,15,MUJER
828,17,15,MUJER
829,16,32,HOMBRE
830,5,17,MUJER
831,10,15,HOMBRE
832,4,16,MUJER
833,1,10,MUJER
834,4,37,MUJER
835,4,17,MUJER
836,10,13,MUJER
837,13,12,MUJER
838,4,7,HOMBRE
839,5,19,MUJER
840,1,15,MUJER
841,5,6,MUJER
842,22,13,MUJER
843,1,18,MUJER
844,11,14,MUJER
845,4,73,MUJER
846,11,18,HOMBRE
847,17,46,MUJER
848,5,15,MUJER
849,8,23,HOMBRE
850,8,24,MUJER
851,1,16,MUJER
852,5,18,MUJER
853,10,16,MUJER
854,1,16,MUJER
855,12,19,MUJER
856,4,28,HOMBRE
857,3,20,HOMBRE
858,12,13,MUJER
859,17,17,MUJER
860,1,32,MUJER
861,4,55,HOMBRE
862,4,79,HOMBRE
863,1,48,MUJER
864,4,37,HOMBRE
865,4,27,MUJER
866,1,71,HOMBRE
867,5,33,MUJER
868,8,14,MUJER
869,4,12,HOMBRE
870,6,12,MUJER
871,4,13,MUJER
872,1,1,MUJER
873,1,31,MUJER
874,19,15,MUJER
875,7,33,HOMBRE
876,2,14,MUJER
877,7,86,HOMBRE
878,1,86,MUJER
879,1,75,HOMBRE
880,1,14,MUJER
881,1,13,MUJER
882,1,16,HOMBRE
883,1,66,HOMBRE
884,20,14,HOMBRE
885,10,15,MUJER
886,5,14,MUJER
887,13,22,HOMBRE
888,2,17,MUJER
889,1,15,MUJER
890,1,22,HOMBRE
891,2,36,HOMBRE
892,4,55,HOMBRE
893,5,14,MUJER
894,4,44,HOMBRE
895,4,35,MUJER
896,5,16,MUJER
897,5,15,MUJER
898,11,14,MUJER
899,10,15,MUJER
900,5,18,MUJER
901,17,17,MUJER
902,8,11,MUJER
903,1,7,HOMBRE
904,19,23,MUJER
905,8,43,HOMBRE
906,13,62,MUJER
907,20,27,MUJER
908,20,29,HOMBRE
909,17,17,MUJER
910,1,38,MUJER
911,1,27,MUJER
912,5,33,HOMBRE
913,5,25,HOMBRE
914,1,16,MUJER
915,8,4,MUJER
916,1,13,MUJER
917,1,21,HOMBRE
918,1,95,HOMBRE
919,21,18,MUJER
920,17,9,HOMBRE
921,5,14,HOMBRE
922,4,20,MUJER
923,5,26,MUJER
924,15,14,MUJER
925,1,14,MUJER
926,1,68,HOMBRE
927,1,30,HOMBRE
928,12,17,HOMBRE
929,10,15,MUJER
930,5,12,MUJER
931,11,16,MUJER
932,3,16,MUJER
933,7,15,MUJER
934,1,18,MUJER
935,11,43,HOMBRE
936,14,15,MUJER
937,4,14,MUJER
938,10,38,HOMBRE
939,24,23,MUJER
940,3,27,HOMBRE
941,21,20,HOMBRE
942,8,18,MUJER
943,4,29,HOMBRE
944,22,21,MUJER
945,11,44,HOMBRE
946,1,20,MUJER
947,16,16,MUJER
948,17,14,HOMBRE
949,7,14,MUJER
950,1,61,HOMBRE
951,1,23,MUJER
952,1,15,MUJER
953,7,14,MUJER
954,1,17,MUJER
955,1,35,HOMBRE
956,1,34,HOMBRE
957,5,85,HOMBRE
958,13,35,MUJER
959,1,13,HOMBRE
960,24,1,MUJER
961,2,15,MUJER
962,8,15,MUJER
963,13,14,MUJER
964,20,17,HOMBRE
965,2,11,MUJER
966,11,17,MUJER
967,1,16,HOMBRE
968,12,13,MUJER
969,4,20,MUJER
970,1,16,MUJER
971,4,30,HOMBRE
972,7,49,HOMBRE
973,13,17,HOMBRE
974,1,15,MUJER
975,1,50,HOMBRE
976,3,13,MUJER
977,8,9,MUJER
978,18,14,MUJER
979,1,26,MUJER
980,1,20,MUJER
981,5,28,MUJER
982,10,52,MUJER
983,1,17,HOMBRE
984,1,14,MUJER
985,10,25,HOMBRE
986,10,14,MUJER
987,19,15,MUJER
988,19,13,MUJER
989,18,32,MUJER
990,1,19,HOMBRE
991,8,43,HOMBRE
992,8,15,HOMBRE
993,17,16,MUJER
994,8,16,MUJER
995,1,16,MUJER
996,4,23,HOMBRE
997,6,16,MUJER
998,4,15,MUJER
999,4,24,HOMBRE
1000,7,17,MUJER
1001,4,23,MUJER
1002,4,11,MUJER
1003,4,65,MUJER
1004,4,35,HOMBRE
1005,4,16,MUJER
1006,1,10,MUJER
1007,8,36,HOMBRE
1008,8,22,MUJER
1009,3,16,MUJER
1010,11,23,MUJER
1011,10,16,MUJER
1012,1,12,HOMBRE
1013,4,13,HOMBRE
1014,4,12,MUJER
1015,1,14,HOMBRE
1016,4,16,HOMBRE
1017,6,15,MUJER
1018,4,39,MUJER
1019,1,26,HOMBRE
1020,3,23,MUJER
1021,8,15,HOMBRE
1022,4,27,HOMBRE
1023,1,16,MUJER
1024,4,14,MUJER
1025,11,28,HOMBRE
1026,1,33,HOMBRE
1027,8,27,MUJER
1028,1,15,MUJER
1029,11,43,HOMBRE
1030,8,15,MUJER
1031,1,11,MUJER
1032,10,12,MUJER
1033,19,14,MUJER
1034,1,37,HOMBRE
1035,19,11,HOMBRE
1036,3,14,HOMBRE
1037,19,14,MUJER
1038,6,13,MUJER
1039,11,23,MUJER
1040,1,16,MUJER
1041,13,14,MUJER
1042,22,14,MUJER
1043,4,17,MUJER
1044,4,31,MUJER
1045,4,28,HOMBRE
1046,4,45,HOMBRE
1047,5,17,MUJER
1048,7,22,HOMBRE
1049,1,14,HOMBRE
1050,1,43,MUJER
1051,1,13,MUJER
1052,3,13,MUJER
1053,4,14,MUJER
1054,1,14,MUJER
1055,13,13,MUJER
1056,11,15,MUJER
1057,4,11,MUJER
1058,8,12,MUJER
1059,4,16,MUJER
1060,10,13,MUJER
1061,9,13,MUJER
1062,11,15,MUJER
1063,10,15,MUJER
1064,2,31,MUJER
1065,1,15,MUJER
1066,4,25,HOMBRE
1067,1,16,MUJER
1068,1,16,HOMBRE
1069,8,16,HOMBRE
1070,8,13,MUJER
1071,7,13,MUJER
1072,17,8,HOMBRE
1073,1,14,HOMBRE
1074,4,16,HOMBRE
1075,7,12,MUJER
1076,4,19,MUJER
1077,3,15,MUJER
1078,13,21,HOMBRE
1079,1,15,HOMBRE
1080,1,24,MUJER
1081,19,36,HOMBRE
1082,4,11,MUJER
1083,1,15,MUJER
1084,5,16,MUJER
1085,13,29,HOMBRE
1086,4,16,MUJER
1087,2,29,MUJER
1088,1,13,MUJER
1089,1,15,MUJER
1090,13,16,MUJER
1091,13,46,HOMBRE
1092,17,12,HOMBRE
1093,2,16,HOMBRE
1094,5,14,MUJER
1095,1,16,MUJER
1096,4,17,MUJER
1097,1,16,MUJER
1098,1,6,HOMBRE
1099,1,10,HOMBRE
1100,13,17,HOMBRE
1101,8,16,MUJER
1102,1,15,MUJER
1103,4,9,HOMBRE
1104,4,47,HOMBRE
1105,5,18,HOMBRE
1106,6,26,HOMBRE
1107,7,4,HOMBRE
1108,1,15,MUJER
1109,6,36,HOMBRE
1110,6,33,HOMBRE
1111,4,15,MUJER
1112,20,16,MUJER
1113,20,29,HOMBRE
1114,22,42,HOMBRE
1115,10,16,MUJER
1116,6,29,MUJER
1117,4,13,MUJER
1118,2,15,MUJER
1119,13,16,MUJER
1120,7,11,MUJER
1121,11,2,MUJER
1122,24,13,MUJER
1123,21,20,MUJER
1124,8,23,HOMBRE
1125,4,42,HOMBRE
1126,19,14,MUJER
1127,1,14,MUJER
1128,7,13,MUJER
1129,4,28,MUJER
1130,3,18,HOMBRE
1131,10,14,MUJER
1132,4,30,MUJER
1133,1,15,MUJER
1134,1,15,HOMBRE
1135,3,13,MUJER
1136,2,39,HOMBRE
1137,2,40,HOMBRE
1138,2,14,HOMBRE
1139,1,34,MUJER
1140,4,3,HOMBRE
1141,5,25,MUJER
1142,7,13,MUJER
1143,11,27,HOMBRE
1144,4,21,MUJER
1145,1,15,MUJER
1146,11,16,HOMBRE
1147,5,24,HOMBRE
1148,5,15,MUJER
1149,5,39,HOMBRE
1150,10,12,MUJER
1151,16,16,MUJER
1152,10,14,MUJER
1153,1,31,HOMBRE
1154,7,17,MUJER
1155,20,16,MUJER
1156,2,76,HOMBRE
1157,4,65,HOMBRE
1158,1,9,MUJER
1159,1,13,HOMBRE
1160,4,28,HOMBRE
1161,8,17,HOMBRE
1162,1,18,MUJER
1163,4,15,MUJER
1164,13,21,HOMBRE
1165,4,20,MUJER
1166,8,14,HOMBRE
1167,1,21,HOMBRE
