Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
CHIMBORAZO;-1,67127269;-78,653761;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/3/2023;ENCONTRADO;13/3/2023
GUAYAS;-1,87445;-80,08497;27;HOMBRE;FALLECIDO;NO DETERMINADA;10/3/2023;FALLECIDO;15/3/2023
PICHINCHA;-0,2803692;-78,5412403;34;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/2/2023;ENCONTRADO;30/3/2023
PICHINCHA;-0,1407541;-78,4794568;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/2/2023;ENCONTRADO;15/3/2023
EL ORO;-3,47024269;-79,90476608;23;HOMBRE;SIN_DATO;SIN_DATO;7/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,242985;-79,9189204;22;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/1/2023;ENCONTRADO;6/4/2023
PICHINCHA;0,0045685;-78,4467745;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/2/2023;ENCONTRADO;6/4/2023
PICHINCHA;-0,2686367;-78,5400834;18;HOMBRE;SIN_DATO;SIN_DATO;16/2/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,25895888;-79,18070545;40;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/3/2023;ENCONTRADO;11/4/2023
SANTA ELENA;-2,22726954;-80,90266186;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/2/2023;ENCONTRADO;11/4/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2601233;-79,1748467;32;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/1/2023;ENCONTRADO;7/4/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2313345;-79,1730018;23;MUJER;SIN_DATO;SIN_DATO;26/3/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,2313345;-79,1730018;5;MUJER;SIN_DATO;SIN_DATO;26/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,13120408;-79,93819039;3;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/2/2023;ENCONTRADO;13/4/2023
AZUAY;-2,7873716;-79,1774268;15;MUJER;SIN_DATO;SIN_DATO;20/1/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,51317121;-78,16254257;21;MUJER;SIN_DATO;SIN_DATO;27/1/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,56068095;-79,75473404;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/1/2023;ENCONTRADO;20/1/2023
MANABI;-1,55956534;-80,81128322;30;HOMBRE;SIN_DATO;SIN_DATO;7/1/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,1355722;-79,9466805;38;HOMBRE;SIN_DATO;SIN_DATO;10/2/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,1255987;-79,8821829;12;MUJER;SIN_DATO;SIN_DATO;11/1/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,32256856;-79,4774602;37;HOMBRE;SIN_DATO;SIN_DATO;23/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2575728;-78,5164078;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/1/2023;ENCONTRADO;20/1/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23921211;-79,19130244;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/2/2023;ENCONTRADO;28/2/2023
CAÑAR;-2,74420725;-78,8606357;15;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;3/1/2023;ENCONTRADO;25/1/2023
GUAYAS;-2,13611315;-79,94605646;15;MUJER;SIN_DATO;SIN_DATO;2/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1479785;-78,4607585;53;HOMBRE;SIN_DATO;SIN_DATO;6/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,0936241;-78,5060973;46;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/1/2023;ENCONTRADO;25/1/2023
PICHINCHA;-0,0795398;-78,4485114;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/2/2023;ENCONTRADO;15/3/2023
PICHINCHA;-0,327644;-78,5673547;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/2/2023;ENCONTRADO;28/2/2023
MORONA SANTIAGO;-2,11678971;-78,03133965;20;MUJER;SIN_DATO;SIN_DATO;6/1/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-0,90607243;-78,70018485;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/2/2023;ENCONTRADO;15/3/2023
LOJA;-3,97962797;-79,20891188;39;MUJER;SIN_DATO;SIN_DATO;7/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,264079;-78,535255;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/2/2023;ENCONTRADO;14/3/2023
AZUAY;-2,89216643;-78,99292231;38;HOMBRE;SIN_DATO;SIN_DATO;11/2/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,92674978;-79,05076146;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/2/2023;ENCONTRADO;16/3/2023
GUAYAS;-2,406797;-80,364197;14;MUJER;SIN_DATO;SIN_DATO;23/2/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,41515941;-79,42831993;16;HOMBRE;SIN_DATO;SIN_DATO;8/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1207097;-78,5114185;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/2/2023;ENCONTRADO;1/3/2023
PICHINCHA;-0,26095165;-78,53063696;32;HOMBRE;SIN_DATO;SIN_DATO;2/2/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,0300244;-79,4742712;15;MUJER;SIN_DATO;SIN_DATO;13/1/2023;DESAPARECIDO;SIN_DATO
PASTAZA;-1,91231652;-77,71695361;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/1/2023;ENCONTRADO;29/1/2023
LOS RIOS;-0,992388;-79,47287;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/2/2023;ENCONTRADO;15/3/2023
PICHINCHA;-0,2690044;-78,54018689;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/3/2023;ENCONTRADO;16/3/2023
ESMERALDAS;0,90253514;-79,68485017;22;HOMBRE;FALLECIDO;ASESINATO;3/3/2023;FALLECIDO;5/3/2023
GUAYAS;-2,0721549;-79,9345141;25;HOMBRE;SIN_DATO;SIN_DATO;26/2/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,37012026;-79,49156723;15;MUJER;SIN_DATO;SIN_DATO;19/2/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,35123859;-79,60800961;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/2/2023;ENCONTRADO;1/3/2023
IMBABURA;0,34185128;-78,16467047;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/2/2023;ENCONTRADO;1/3/2023
PICHINCHA;-0,2418203;-78,5277506;31;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;14/1/2023;ENCONTRADO;31/3/2023
MANABI;-1,05943364;-80,47502518;15;MUJER;SIN_DATO;SIN_DATO;25/2/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;1,09013739;-78,99231659;21;MUJER;SIN_DATO;SIN_DATO;23/1/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,14661711;-79,89145257;16;MUJER;SIN_DATO;SIN_DATO;2/2/2023;DESAPARECIDO;SIN_DATO
MANABI;-1,55956534;-80,81128322;38;MUJER;SIN_DATO;SIN_DATO;7/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,22074965;-78,51275396;80;HOMBRE;EXTRAVIADA;HOSPITALIZADO;7/2/2023;ENCONTRADO;8/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2704893;-79,1722894;17;MUJER;SIN_DATO;SIN_DATO;5/2/2023;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,64345044;-78,67107785;24;MUJER;SIN_DATO;SIN_DATO;4/3/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,085999;-79,2803499;17;HOMBRE;SIN_DATO;SIN_DATO;31/1/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,4435171;-79,46003383;14;MUJER;SIN_DATO;SIN_DATO;11/1/2023;DESAPARECIDO;SIN_DATO
MANABI;-1,06458656;-80,44917558;19;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;21/1/2023;ENCONTRADO;1/2/2023
PICHINCHA;-0,25633216;-78,50794239;16;HOMBRE;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;4/1/2023;ENCONTRADO;25/1/2023
NAPO;-1,03486871;-77,66340494;25;HOMBRE;FALLECIDO;NO DETERMINADA;1/1/2023;FALLECIDO;3/1/2023
GUAYAS;-2,55345773;-79,56342459;18;HOMBRE;SIN_DATO;SIN_DATO;8/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2044426;-78,4899379;16;MUJER;PROBLEMAS SOCIALES;DROGADICCION;10/2/2023;ENCONTRADO;9/3/2023
PICHINCHA;-0,1350023;-78,4382469;25;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;4/1/2023;ENCONTRADO;5/1/2023
PICHINCHA;-0,2437481;-78,5297374;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/1/2023;ENCONTRADO;3/2/2023
COTOPAXI;-0,9411949;-79,2316042;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/1/2023;ENCONTRADO;3/2/2023
AZUAY;-2,8870218;-78,9641763;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/1/2023;ENCONTRADO;5/2/2023
AZUAY;-2,91418544;-79,00084692;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/1/2023;ENCONTRADO;5/2/2023
AZUAY;-2,91418544;-79,00084692;15;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/1/2023;ENCONTRADO;5/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2514291;-79,163932;14;MUJER;SIN_DATO;SIN_DATO;17/2/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,013715;-79,4661697;19;MUJER;SIN_DATO;SIN_DATO;4/2/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,176347;-79,4366324;31;HOMBRE;SIN_DATO;SIN_DATO;14/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2827656;-78,5581264;77;HOMBRE;SIN_DATO;SIN_DATO;23/1/2023;DESAPARECIDO;SIN_DATO
SANTA ELENA;-2,3127597;-80,70610553;26;HOMBRE;FALLECIDO;ASESINATO;13/2/2023;FALLECIDO;16/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2391588;-79,1701808;59;HOMBRE;SIN_DATO;SIN_DATO;14/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,3086002;-78,5618265;48;HOMBRE;SIN_DATO;SIN_DATO;26/1/2023;DESAPARECIDO;SIN_DATO
COTOPAXI;-1,03458907;-78,48614605;49;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/3/2023;ENCONTRADO;17/3/2023
CHIMBORAZO;-1,6071779;-78,6310395;28;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;6/3/2023;ENCONTRADO;17/3/2023
MANABI;-0,99635824;-80,73672295;69;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;15/3/2023;ENCONTRADO;17/3/2023
PICHINCHA;-0,15732745;-78,48442912;29;HOMBRE;EXTRAVIADA;DETENIDO;15/3/2023;ENCONTRADO;17/3/2023
PICHINCHA;-0,27969562;-78,58417869;14;MUJER;SIN_DATO;SIN_DATO;23/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2329462;-78,50851641;40;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/3/2023;ENCONTRADO;17/3/2023
PICHINCHA;-0,14920007;-78,46459828;29;HOMBRE;SIN_DATO;SIN_DATO;12/1/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,0084408;-79,460432;17;MUJER;SIN_DATO;SIN_DATO;2/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1350023;-78,4382469;7;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;4/1/2023;ENCONTRADO;5/1/2023
BOLIVAR;-1,70880111;-79,06013337;44;MUJER;SIN_DATO;SIN_DATO;25/2/2023;DESAPARECIDO;SIN_DATO
LOJA;-4,00293028;-79,21007902;5;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/2/2023;ENCONTRADO;1/3/2023
PICHINCHA;-0,14965699;-78,50617528;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/3/2023;ENCONTRADO;17/3/2023
CHIMBORAZO;-1,9372504;-78,7140798;44;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/3/2023;ENCONTRADO;17/3/2023
TUNGURAHUA;-1,2704173;-78,6264312;28;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;15/3/2023;ENCONTRADO;17/3/2023
